94,23,32,68.1,5,47,13,0,12,3,t,76561198146967680,2017-05-31 15:00:45.415552,2017-05-31 15:00:45.415552,
95,550,1254,56.4,564,2225,564,204,16,6,t,Vinci279,2017-06-01 15:00:49.794486,2017-06-01 15:00:49.794486,
96,1152,3446,50.1,2125,6875,970,844,17,4,t,GuiConti,2017-06-01 15:00:56.626333,2017-06-01 15:00:56.626333,
97,8,10,71.4,0,14,2,0,14,7,t,rodrigotnoronha,2017-06-01 15:01:03.0523,2017-06-01 15:01:03.0523,
98,23,32,68.1,5,47,13,0,13,3,t,76561198146967680,2017-06-01 15:01:08.471894,2017-06-01 15:01:08.471894,
99,3276,7090,48.8,4994,14538,3017,1403,17,1,t,mmendesc,2017-06-01 15:01:13.961756,2017-06-01 15:01:13.961756,
100,2627,4742,46.5,4333,10190,2632,878,17,2,t,m_makarios,2017-06-01 15:01:18.909284,2017-06-01 15:01:18.909284,
101,558,1269,56.3,573,2256,574,207,17,6,t,Vinci279,2017-06-02 15:00:39.307006,2017-06-02 15:00:39.307006,ps
102,3284,7098,48.8,4998,14560,3021,1403,18,1,t,mmendesc,2017-06-02 15:00:41.70986,2017-06-02 15:00:41.70986,steam
103,2635,4750,46.5,4340,10213,2637,880,18,2,t,m_makarios,2017-06-02 15:00:44.094465,2017-06-02 15:00:44.094465,steam
104,3468,10268,49.3,4738,20828,3135,1225,1,9,t,lamebananayep,2017-06-03 15:00:49.390336,2017-06-03 15:00:49.390336,steam
105,1260,3472,51.0,1420,6807,1358,508,1,11,t,Kultor,2017-06-03 15:00:50.124737,2017-06-03 15:00:50.124737,ps
106,558,1270,56.1,577,2263,575,207,18,6,t,Vinci279,2017-06-03 15:00:50.945427,2017-06-03 15:00:50.945427,ps
107,2635,4750,46.5,4340,10213,2637,880,19,2,t,m_makarios,2017-06-03 15:00:53.021038,2017-06-03 15:00:53.021038,steam
108,3284,7098,48.8,4998,14560,3021,1403,19,1,t,mmendesc,2017-06-03 15:00:58.444739,2017-06-03 15:00:58.444739,steam
111,3472,10274,49.3,4742,20843,3141,1226,2,9,t,lamebananayep,2017-06-04 16:42:05.937974,2017-06-04 16:42:05.937974,steam
112,1266,3481,51.0,1423,6830,1367,510,2,11,t,Kultor,2017-06-04 16:42:07.580591,2017-06-04 16:42:07.580591,ps
113,558,1270,56.1,577,2263,575,207,19,6,t,Vinci279,2017-06-04 16:42:09.269951,2017-06-04 16:42:09.269951,ps
114,2635,4750,46.5,4340,10213,2637,880,20,2,t,m_makarios,2017-06-04 16:42:10.826219,2017-06-04 16:42:10.826219,steam
115,3284,7098,48.8,4998,14560,3021,1403,20,1,t,mmendesc,2017-06-04 16:42:12.30613,2017-06-04 16:42:12.30613,steam
116,3472,10274,49.3,4742,20843,3141,1226,3,9,t,lamebananayep,2017-06-05 15:01:00.430775,2017-06-05 15:01:00.430775,steam
117,1266,3481,51.0,1423,6830,1367,510,3,11,t,Kultor,2017-06-05 15:01:02.251417,2017-06-05 15:01:02.251417,ps
118,558,1270,56.1,577,2263,575,207,20,6,t,Vinci279,2017-06-05 15:01:03.483017,2017-06-05 15:01:03.483017,ps
119,2635,4750,46.5,4340,10213,2637,880,21,2,t,m_makarios,2017-06-05 15:01:05.054806,2017-06-05 15:01:05.054806,steam
120,3284,7098,48.8,4998,14560,3021,1403,21,1,t,mmendesc,2017-06-05 15:01:07.277735,2017-06-05 15:01:07.277735,steam
121,3489,10317,49.2,4772,20966,3166,1231,4,9,t,lamebananayep,2017-06-06 15:07:47.256772,2017-06-06 15:07:47.256772,steam
122,1273,3496,51.0,1426,6862,1376,512,4,11,t,Kultor,2017-06-06 15:07:49.401476,2017-06-06 15:07:49.401476,ps
123,560,1279,56.3,578,2273,577,209,21,6,t,Vinci279,2017-06-06 15:07:51.113687,2017-06-06 15:07:51.113687,ps
124,2641,4763,46.5,4351,10245,2646,884,22,2,t,m_makarios,2017-06-06 15:07:53.356391,2017-06-06 15:07:53.356391,steam
125,3295,7127,48.8,5008,14609,3027,1406,22,1,t,mmendesc,2017-06-06 15:07:55.444805,2017-06-06 15:07:55.444805,steam
126,3489,10317,49.2,4772,20966,3166,1231,5,9,t,lamebananayep,2017-06-06 15:10:16.18412,2017-06-06 15:10:16.18412,steam
127,1273,3496,51.0,1426,6862,1376,512,5,11,t,Kultor,2017-06-06 15:10:17.147557,2017-06-06 15:10:17.147557,ps
128,560,1279,56.3,578,2273,577,209,22,6,t,Vinci279,2017-06-06 15:10:17.8086,2017-06-06 15:10:17.8086,ps
129,2641,4763,46.5,4351,10245,2646,884,23,2,t,m_makarios,2017-06-06 15:10:18.509924,2017-06-06 15:10:18.509924,steam
130,3295,7127,48.8,5008,14609,3027,1406,23,1,t,mmendesc,2017-06-06 15:10:19.237301,2017-06-06 15:10:19.237301,steam
131,3489,10317,49.2,4772,20966,3166,1231,6,9,t,lamebananayep,2017-06-07 15:08:20.271439,2017-06-07 15:08:20.271439,steam
132,1279,3507,50.9,1434,6889,1388,513,6,11,t,Kultor,2017-06-07 15:08:31.635091,2017-06-07 15:08:31.635091,ps
133,562,1283,56.1,582,2286,582,209,23,6,t,Vinci279,2017-06-07 15:08:34.558783,2017-06-07 15:08:34.558783,ps
