175,Ranked Standard 3v3,Platinum III,Division III,983,~21,~1,311,2,16,,m_makarios,2017-05-31 15:00:38.920471,2017-05-31 15:00:38.920471
176,Ranked Duel 1v1,Gold III,Division III,756,~19,~2,14,2,16,,m_makarios,2017-05-31 15:00:38.934961,2017-05-31 15:00:38.934961
177,Ranked Doubles 2v2,Platinum III,Division II,969,~13,~8,81,4,16,,GuiConti,2017-05-31 15:00:41.621888,2017-05-31 15:00:41.621888
178,Ranked Standard 3v3,Platinum III,Division II,982,,~22,311,4,16,,GuiConti,2017-05-31 15:00:41.646229,2017-05-31 15:00:41.646229
179,Ranked Solo Standard 3v3,Bronze II,Division III,327,,,5,3,12,,76561198146967680,2017-05-31 15:00:45.441731,2017-05-31 15:00:45.441731
180,Ranked Duel 1v1,Gold I,Division III,630,,,1,6,16,,Vinci279,2017-06-01 15:00:49.91561,2017-06-01 15:00:49.91561
181,Ranked Doubles 2v2,Gold I,Division I,599,~12,~9,111,6,16,,Vinci279,2017-06-01 15:00:49.9477,2017-06-01 15:00:49.9477
182,Ranked Solo Standard 3v3,Gold I,Division I,581,~17,~1,24,6,16,,Vinci279,2017-06-01 15:00:49.981273,2017-06-01 15:00:49.981273
183,Ranked Standard 3v3,Silver III,Division IV,584,~20,~1,43,6,16,,Vinci279,2017-06-01 15:00:50.011074,2017-06-01 15:00:50.011074
184,Ranked Doubles 2v2,Platinum III,Division IV,1019,~4,~16,87,4,17,,GuiConti,2017-06-01 15:00:56.639166,2017-06-01 15:00:56.639166
185,Ranked Standard 3v3,Platinum III,Division II,970,~12,~10,316,4,17,,GuiConti,2017-06-01 15:00:56.646116,2017-06-01 15:00:56.646116
186,Ranked Solo Standard 3v3,Bronze II,Division III,327,,,5,3,13,,76561198146967680,2017-06-01 15:01:08.514466,2017-06-01 15:01:08.514466
187,Ranked Doubles 2v2,Gold III,Division IV,808,~6,~15,205,1,17,,mmendesc,2017-06-01 15:01:13.995781,2017-06-01 15:01:13.995781
188,Ranked Standard 3v3,Platinum II,Division III,916,~18,~4,306,1,17,,mmendesc,2017-06-01 15:01:14.011328,2017-06-01 15:01:14.011328
189,Ranked Doubles 2v2,Platinum II,Division II,898,~14,~7,187,2,17,,m_makarios,2017-06-01 15:01:19.038181,2017-06-01 15:01:19.038181
190,Ranked Standard 3v3,Platinum III,Division II,971,~11,~11,316,2,17,,m_makarios,2017-06-01 15:01:19.090428,2017-06-01 15:01:19.090428
191,Ranked Duel 1v1,Gold III,Division III,756,~19,~2,14,2,17,,m_makarios,2017-06-01 15:01:19.141083,2017-06-01 15:01:19.141083
192,Ranked Duel 1v1,Gold I,Division III,630,,,1,6,17,,Vinci279,2017-06-02 15:00:39.341693,2017-06-02 15:00:39.341693
193,Ranked Doubles 2v2,Gold I,Division III,637,~16,~5,119,6,17,,Vinci279,2017-06-02 15:00:39.350146,2017-06-02 15:00:39.350146
